Topic,Count,Name,Representation,KeyBERT,MMR,OpenAI,Representative_Docs,label
-1,81,-1_balance_trade_countertrade_effects,"['balance', 'trade', 'countertrade', 'effects', 'exchange', 'negotiations', 'offset commitments', 'export', 'disputes', 'spanish', 'net', 'low']","['offset requirements', 'offset commitments', 'indirect offsets', 'direct offsets', 'incentives', 'foreign exchange', 'benefits', 'overhead', 'employment', 'contracting', 'commitments', 'welfare']","['balance', 'countertrade', 'negotiations', 'offset commitments', 'spanish', 'foreign exchange', 'employment', 'dod', 'belgium', 'declines']",['Offset policies analysis'],"['Choosing direct vs indirect offsets changes whether the policy primarily improves exchange integrity or supports broader capability/market outcomes, with differing cost risks.', 'The chapter describes a shift toward indirect offsets, citing the UAE program as making no requests for direct offsets and instead stressing profitability, technology transfer, and industrial diversification.', 'The programme yields job creation effects, export/trade-balance mitigation, training, and improved market acceptance of Spanish defence-related products.']",Outlier
0,66,0_indigenous_defense_dependent_defense industry,"['indigenous', 'defense', 'dependent', 'defense industry', 'singapore', 'run', 'defense industrial', 'remains', 'integrated', 'dependence', 'industrial base', 'self']","['defence industrial', 'defense industrial', 'defence industrial base', 'defense industry', 'defence firms', 'defence procurement', 'reduce defence', 'defence purchases', 'industrial capability', 'domestic industrial', 'domestic capability', 'domestic firms']","['indigenous', 'singapore', 'defense industrial', 'dependence', 'industrial base', 'defence procurement', 'long run', 'arms production', 'defence firms', 'industry capabilities']",['Defense industry dynamics'],"['Singapore sustains a profitable defense industry by integrating into a global division of labor, while accepting ongoing foreign dependence.', 'Defence-industrial policy emphasises technology absorption and long-run self-sufficiency rather than short-run cost minimisation.', 'The domestic defense industrial base declines and becomes largely non-viable beyond limited licensed production and repair.']",Defense industry dynamics
1,45,1_offset obligations_obligations_goal_fulfillment,"['offset obligations', 'obligations', 'goal', 'fulfillment', 'delivery', 'years', 'reliable', 'proposed', 'administrative', 'levels', 'offsets obligations', 'respondents']","['offset obligations', 'offsets obligations', 'obligations offset', 'offset agreements', 'offset commitments', 'offset requirements', 'firms report offset', 'offset authorities', 'offset delivery', 'formal offset', 'offset value', 'compliance incentives']","['offset obligations', 'obligations', 'fulfillment', 'levels', 'penalties', 'commitments', 'net benefits', 'administrative costs', 'contracts', 'additionality']",['Offset obligations reporting'],"['Respondents criticise the UK threshold (£10m), argue it should be lowered, and call for penalties; an example is given of multiple sub-threshold contracts avoiding UK offset obligations.', 'Offset obligations can grow to very high levels (including, in some cases, exceeding the contract value).', 'Offset obligations are reported as being met through various sources (prime/sub-contractors/other firms), and the chapter estimates combined losses to British industry (including subcontractors) on the order of ~1105 employee-years for the sample.']",Offset obligations reporting
2,43,2_procurement_suppliers_processes_subcontractors,"['procurement', 'suppliers', 'processes', 'subcontractors', 'lose', 'relies', 'better', 'supplier', 'treated', 'offset proposals', 'deliverables', 'targeted']","['avoid procurement', 'procurement costs', 'procurements offset', 'procurement economic burden', 'simpler procurement', 'procurement economic', 'procurement outcomes', 'procurement', 'net offset benefits', 'costs', 'benefit analysis', 'offset competition']","['subcontractors', 'deliverables', 'targeted', 'procurement costs', 'offset packages', 'outcomes', 'mandatory', 'arrangements', 'sourcing', 'reducing']",['Procurement Efficiency Issues'],"['Best-endeavors and mandatory offsets are characterized as inefficient and poorly targeted, and the chapter argues capability requirements are better negotiated directly within procurement contracts.', 'Management costs are significant and cost-benefit analysis is undermined, prompting recommendations for better advance planning and fewer targeted activities.', 'Competition is criticized as wasteful and associated with higher prices and difficulty for domestic suppliers to make long-term capacity investments.']",Procurement Efficiency Issues
3,42,3_defence_defence industrial_programme_support,"['defence', 'defence industrial', 'programme', 'support', 'dedicated', 'offset programme', 'offsets framed', 'associated offsets', 'purchasing power', 'al', 'categories', 'belgium']","['support defence industry', 'defence industrial base', 'industrial development offset', 'defence industry', 'defence industrial', 'support defence', 'defence', 'linked defence purchases', 'offset programme', 'linked defence', 'offsets used', 'offsets indirect']","['offset programme', 'purchasing power', 'categories', 'belgium', 'mro', 'strategic', 'support defence', 'defence industry', 'commitment', 'instruments']",['Defence offset policies'],"['Offset policy emphasis shifts toward non-military or dual-use production and commercially viable goods rather than dedicated defence manufacturing.', 'Belgium pays substantial cost penalties for equipment associated with offsets, reducing scarce defence purchasing power.', 'Offsets are more likely to support defence-industry development when accompanied by policy measures that build absorptive capacity and strengthen enforcement.']",Defence offset policies
4,32,4_implementation_attempts_calls_offset related,"['implementation', 'attempts', 'calls', 'offset related', 'offset fulfillment', 'overstate', 'incremental', 'review', 'parties', 'institutionalised', 'offsets persist', 'monitoring']","['offset practices', 'effectiveness offset', 'offset authorities', 'argues offsets', 'chapter argues offsets', 'offset projects', 'benefits offset', 'offset fulfillment', 'offset related', 'offsets unlikely', 'offset accounting', 'offsets persist']","['offset fulfillment', 'overstate', 'incremental', 'offsets persist', 'efforts', 'planning', 'benefit', 'offset projects', 'approval', 'contractors']",['Challenges of Offsets'],"['Offset projects can receive faster consideration/approval and higher-level problem resolution than comparable non-offset initiatives.', 'Offsets persist over time despite political efforts to curtail them, and attempts at unilateral limitation are ineffective.', ""The chapter argues that offsets may persist even where they are not formally required because substantial offset proposals are expected on a 'voluntary' basis.""]",Challenges of Offsets
5,31,5_arms_market_deal_proceed,"['arms', 'market', 'deal', 'proceed', 'capital', 'exports', 'economic burden', 'restructuring', 'weakened', 'international', 'payment', 'niches']","['arms purchases', 'arms production', 'arms purchase', 'arms imports', 'arms', 'financing', 'procurement economic burden', 'procurement economic', 'exports', 'restructuring', 'economic burden', 'development benefits']","['arms', 'market', 'capital', 'exports', 'restructuring', 'major firms', 'procurement economic burden', 'investment job', 'regions', 'financing']",['Arms trade financing'],"['Arms-payment obligations are serviced via oil flows rather than cash, sustaining exports under debt and liquidity constraints.', 'The arms deal is politically justified in part via promises of investment and job creation tied to industrial participation offers.', 'Arms sales proceed with reduced upfront hard-currency payment and increased reciprocal trade.']",Arms trade financing
6,27,6_imports_markets_imports proceed_enter,"['imports', 'markets', 'imports proceed', 'enter', 'importing', 'premiums', 'domestic firms', 'gain', 'export', 'exports', 'hard', 'prices']","['exports', 'imports proceed', 'foreign purchases', 'imports', 'export oriented', 'domestic firms', 'domestic suppliers', 'domestic industries', 'domestic production', 'importing', 'arms imports', 'export']","['imports proceed', 'domestic firms', 'gain', 'exports', 'prices', 'regional', 'suppliers face', 'emphasis shifts', 'export oriented', 'distribution']",['Import-Export Dynamics'],"['Domestic firms gain exposure, contracts, and potential footholds in otherwise hard-to-enter export markets.', 'Imports proceed while reciprocal transactions are used to manage hard-currency constraints and potentially generate additional exports.', 'Policy emphasis shifts from project-specific local content to broader, ongoing supplier engagement with the domestic economy, including export-oriented behaviour.']",Import-Export Dynamics
7,26,7_packages_package_offset package_shelf,"['packages', 'package', 'offset package', 'shelf', 'pre', 'pay', 'values', 'germany', 'non offset', 'offset packages', 'reported', '50']","['offset packages', 'offset requirement', 'offset package', 'procurements offset', 'effectiveness offsets', 'offsets offset', 'reported offset', 'direct offset', 'associated offsets', 'offset percentages', 'indirect offset', 'non offset']","['germany', 'offset packages', 'rise', 'supplier', 'notes', 'net value', 'indirect offset', 'long term benefits', 'fulfilled', 'effectiveness offsets']",['Offset Agreements Effectiveness'],"['Reported offset package values can diverge materially from underlying nominal values and become less transparent.', 'The agreed F-16 package falls short of the statutory 50% direct-offset requirement (by net value as reported).', 'Offset packages overstate incremental value and deliver limited technology transfer and long-term benefits.']",Offset Agreements Effectiveness
8,26,8_firms report_report_new_report offset,"['firms report', 'report', 'new', 'report offset', 'politically attractive', 'typically', 'offset work', 'weaken', '100', 'claims', 'attractive', 'work']","['firms report offset', 'offset benefits', 'benefits offset', 'offset practices', 'chapter argues offsets', 'offset work', 'claims offsets', 'report offset', 'argues offsets', 'transactions offsets', 'offset value', 'offset programmes described']","['firms report', 'report offset', 'politically attractive', 'offset work', 'job', 'increasingly', 'programmes described', 'distorted', 'profitable', 'investment job creation']",['Offset programs analysis'],"['Most surveyed firms report offset sales did not improve competitiveness (or only marginally).', 'A substantial discrepancy emerges between Boeing/MoD job claims and firm responses; an expert suggests genuinely new business is typically only a fraction of an offset.', 'Small firms report higher offset-work shares of turnover than large firms; respondents report offset work is as profitable as other work.']",Offset programs analysis
9,24,9_japan_develops_patriot_missile,"['japan', 'develops', 'patriot', 'missile', 'develops indigenous', 'south korea', 'domestic production', 'access', 'constrained', 'fighter', 'autonomy', 'greater']","['technology imports', 'technology transfers', 'domestic defence industry', 'support domestic industrial', 'japan', 'domestic production', 'multinational', 'greater technology', 'production capability', 'production technology', 'local procurement', 'domestic defence']","['missile', 'develops indigenous', 'south korea', 'transfers', 'greater technology', 'fsx', 'local procurement', 'major programmes', 'formal offset', 'support domestic industrial']",['Defense industrial strategy'],"['South Korea intensifies technology imports and offset-linked domestic production to support self-defense.', 'Japan receives large-scale defense technology transfers that support domestic industrial objectives despite formal offset-policy absence.', 'Japan pushes for greater autonomy and develops indigenous alternatives where technology access is constrained.']",Defense industrial strategy
10,24,10_evaluation_difficult_performance_analysis,"['evaluation', 'difficult', 'performance', 'analysis', 'compliance', 'unreliable', 'offset programmes', 'information', 'estimates', 'evidence', 'benefit', 'effectiveness']","['effectiveness offsets', 'offsets compliance', 'mandatory offsets', 'assessment offsets', 'offset programmes', 'offset programmes described', 'claimed offsets', 'claims offsets', 'compliance', 'offsets described', 'offset success', 'benefit analysis']","['compliance', 'estimates', 'benefit', 'substantial share', 'offset programmes described', 'accountability', 'reluctance', 'evaluations', 'effectiveness offsets', 'disclosure']",['Challenges in Offset Evaluation'],"['There are few economic evaluations of offset programmes and evaluation is difficult.', 'The Spanish administration reports difficulty assessing proposals and faces parliamentary challenges over eligibility; the programme is exposed to unforeseeable economic shocks.', ""Evaluation of offset programmes is described as 'incredibly difficult', with limited publicly available information in many cases.""]",Challenges in Offset Evaluation
11,23,11_high technology_self sufficiency_sufficiency_human,"['high technology', 'self sufficiency', 'sufficiency', 'human', 'contribute', 'resource', 'software', 'building', 'high', 'project', 'projects', 'direct offsets']","['technology transfer offset', 'technology transfer', 'technology absorption', 'capability growth', 'offset projects', 'capability gains', 'technology licensing', 'technologies', 'capability development', 'high technology', 'technology', 'technology related']","['sufficiency', 'resource', 'offset projects', 'transfer', 'high tech', 'human capital', 'strengthened', 'effectiveness offset', 'portfolio', 'oriented commercially']",['Technology Transfer Offsets'],"['High domestic content in major programmes (e.g., P-3C; FSX software) and near self-sufficiency in multiple domains.', 'Offsets and licensing contribute to some domestic capability growth but have limited impact on achieving broad self-sufficiency or creating global high-technology competitors.', 'Offset-driven capacity-building occurs, but the extent to which recipients can exploit transferred technologies depends on their starting technology level and human-resource constraints.']",Technology Transfer Offsets
12,23,12_shaped_incorporate_acquisitions_procurement,"['shaped', 'incorporate', 'acquisitions', 'procurement', 'decisions', 'bargaining', 'aimed', 'procurements', 'licensing', 'selection', 'participation', 'industrial participation']","['procurements', 'procurement', 'procurement linked', 'large procurements', 'procurement outcomes', 'technology acquisition', 'acquisitions', 'technology transfers', 'acquisition', 'joint ventures', 'buy multinational', 'global supply chains']","['acquisitions', 'bargaining', 'licensing', 'selection', 'engineering', 'direct industrial participation', 'procurement linked', 'procurement outcomes', 'global supply', 'domestic employment']",['Procurement and Industrial Participation'],"['Procurements incorporate industrial participation requirements aimed at domestic jobs, technology acquisition, and broader economic activity.', 'Joint ventures and technology transfers increase, with evidence of export impacts and integration into European global supply chains.', 'Buyers gain technical skills and the practical ability to use transferred processes in joint ventures or offset projects.']",Procurement and Industrial Participation
13,21,13_brazil_technology transfer_transfer_strategies,"['brazil', 'technology transfer', 'transfer', 'strategies', 'shifting', 'hard currency', 'effectively', 'currency', 'india', 'hard', 'autonomy', 'terms']","['technology transfer', 'technology transfer investment', 'technology acquisition', 'technology ladder', 'technology', 'transfer investment', 'technological', 'selective technology', 'competitiveness', 'foreign firms', 'transfer likely', 'transfer']","['brazil', 'technology transfer', 'shifting', 'hard currency', 'autonomy', 'risk', 'competitiveness', 'sustainable', 'import offsets', 'reduced military']",['Technology Transfer Strategies'],"['Import offsets are regularly requested to secure technology transfer and investment in prioritized capabilities, even while viewed as an “unavoidable nuisance.”', 'Many respondents report technology transfer and some expect it to improve rivals’ competitiveness; some large firms report strategies to limit risk.', 'India can procure large volumes of Soviet/Russian systems with reduced short-term hard-currency burden compared to purely hard-currency purchases.']",Technology Transfer Strategies
14,21,14_negotiation_flexible_welfare_foregone,"['negotiation', 'flexible', 'welfare', 'foregone', 'offset arrangements', 'rent', 'price discounts', 'settings', 'discounts', 'delayed', 'reduced', 'seeking']","['offset demands', 'benefits offsets', 'welfare reduced', 'offset practices', 'offset delivery', 'offset requirements', 'reduced offset', 'price discounts', 'negotiation', 'discounts', 'bargaining', 'constraints']","['negotiation', 'flexible', 'welfare', 'rent', 'price discounts', 'settings', 'offset demands', 'mandatory schemes', 'restrictions', 'seeks']",['Buyer welfare dynamics'],"['Welfare falls relative to using market exchange (and price discounts when government has bargaining power).', 'Component-offset delivery can be delayed or reduced when local suppliers struggle to meet required quality standards.', 'Welfare is reduced because foregone price discounts exceed the benefits of offsets in these settings.']",Buyer welfare dynamics
15,19,15_systems integration_development offset_regional_partnership,"['systems integration', 'development offset', 'regional', 'partnership', 'limiting', 'national', 'collaboration', 'industrial participation', 'integration', 'argues', 'chapter argues', 'substantially']","['industrial development offset', 'industrial participation', 'industrial cooperation', 'regional policy', 'industrial development', 'industrial benefits', 'policy shifts', 'capability development', 'development offset', 'long run industrial', 'industrial', 'systems integration']","['systems integration', 'development offset', 'partnership', 'industrial participation', 'offsets joint', 'sectoral', 'demands high', 'placements', 'division labor', 'regional policy']",['Industrial Participation Challenges'],"['Long-run national capability in design/systems integration erodes under offset-based industrial participation.', 'Industrial participation can be temporary, limiting partnership durability and long-run industrial benefits.', 'Policy shifts away from offsets toward joint development/production to reduce implementation frictions while preserving industrial participation volume.']",Industrial Participation Challenges
16,16,16_credit_crediting_additionality_accounting,"['credit', 'crediting', 'additionality', 'accounting', 'incentives', 'contractors', 'complete', 'contractual', 'rules', 'complexity', 'bank', 'genuinely new business']","['offset accounting', 'offset obligations', 'crediting', 'accounting', 'incentives', 'work offset', 'credit', 'contractual', 'impact offset', 'offset arrangements', 'credits', 'offset content']","['crediting', 'additionality', 'accounting', 'incentives', 'contractors', 'genuinely new business', 'criteria', 'impact offset', 'notes', 'foreign purchases']",['Offset Credit Accounting'],"['Offset crediting can include non-additional activity, diluting real economic impact.', 'Offset accounting can produce credit values that are not cost-based, increasing scope for inflated claims or disputes over value.', 'Follow-on contracts receive discounted offset credit and industry/parliamentary actors dispute whether approved work is genuinely new business.']",Offset Credit Accounting
17,16,17_swiss_israeli_swiss firms_companies,"['swiss', 'israeli', 'swiss firms', 'companies', 'relationships', 'credits', 'offset commitments', 'provisions', 'local assembly', 'maintained', 'require', 'liquidated damages']","['offset agreements', 'swiss firms', 'offset commitments', 'israeli', 'swiss', 'commitments', 'offset requirement', 'offset goal', 'offset proposals', 'purchases offset', 'nato', 'provisions']","['swiss firms', 'credits', 'provisions', 'local assembly', 'liquidated damages', 'mou', 'foreign aircraft', 'expects', 'department defense', 'offset requirement']",['Offset agreements and relationships'],"['Israel requests 35% (or more) offsets, typically expects a 20/40/40 completion schedule over three years (extendable for large deals), and has no liquidated damages clause.', 'Israel’s primary offset goal is to foster close, long-term working relationships between foreign and Israeli firms to help Israeli companies grow.', 'For the Swiss F-5 purchase, the US Department of Defense agreed to act as guarantor for offset commitments; no such US government role was envisioned for the F-16 sale to a NATO consortium.']",Offset agreements and relationships
18,14,18_content_percent_imported_meeting,"['content', 'percent', 'imported', 'meeting', 'defined', 'structured', 'local content', 'obligation', '30', 'case', 'credits', 'generate']","['large procurements', 'imports', 'procurements', 'import offsets', 'offsets obligations', 'local content increases', 'import', 'goods services', 'goods', 'imported', 'offsets compliance', 'content increases']","['percent', 'credits', 'import', 'offsets compliance', 'provisions', 'local content increases', 'large procurements', 'industrial recovery', 'technology related', 'standardized']",['Local content obligations'],"['Offsets compliance is anchored to 30 percent of import content (negotiable) and requires at least 50 percent local value-added for ANZ-sourced supplies.', 'Large procurements with substantial imported content generate standardized offsets obligations (e.g., a defined percent of imported content).', 'Suppliers must submit and implement business projects to generate credits meeting a 30 percent imported-content obligation within 7 years.']",Local content obligations
19,14,19_aircraft_aerospace_component_korea,"['aircraft', 'aerospace', 'component', 'korea', 'strategy', '130', 'remaining', 'positions', '235', 'strategically', 'aerospace capability', 'engineering']","['aerospace capability', 'foreign aircraft', 'aerospace', 'aircraft', 'industry development', 'exports', 'development production', 'production', 'local production', 'defense industrial', 'defense industrial participation', 'engineering']","['component', 'korea', 'strategy', 'aerospace capability', 'excess capacity', 'cn 235', 'foreign aircraft', 'defense industrial participation', 'expands domestic', 'facilities']",['Aerospace industry development'],"['Korea develops higher-end aerospace capability and positions the platform for global exports.', 'Local production expands and the domestic aerospace base gains capabilities oriented toward future design, development, and production.', 'IPTN increases domestic content in aircraft production and gains experience producing components for advanced foreign aircraft.']",Aerospace industry development
20,14,20_military_civilian_unless_improves,"['military', 'civilian', 'unless', 'improves', 'missed', 'arise', 'cheaper', 'welfare reduced', 'defense industrial participation', 'economic activity', 'economic impacts', 'gains employment']","['reduced military', 'military industry', 'defense industrial participation', 'defense industrial', 'domestic capability', 'technology absorption', 'technology transfer', 'technology transfer offset', 'welfare reduced', 'economic impacts', 'military', 'production capability']","['civilian', 'unless', 'improves', 'defense industrial participation', 'economic activity', 'military industry', 'reduced military', 'soviet', 'participation technology transfer', 'transfer offset']",['Military-industrial impacts'],"['Offsets are steered toward defense-industrial participation and technology transfer rather than purely civilian trade.', 'Social welfare can be reduced unless military-industry returns exceed those of foregone civilian uses.', 'Claims arise that imported corvette combat suites were less advanced than a cheaper local alternative, raising questions about missed domestic capability use.']",Military-industrial impacts
21,14,21_form_joint ventures_equity_joint,"['form', 'joint ventures', 'equity', 'joint', 'ventures', 'offset linked', 'enable', 'indirect offsets', 'saudi', 'capital', 'offsets enable', 'routed']","['joint ventures offset', 'ventures offset', 'joint ventures receive', 'indirect offsets', 'joint ventures', 'inward investment direct', 'offset linked', 'inward investment', 'investment direct', 'offsets enable', 'transactions offsets', 'offset success']","['equity', 'saudi', 'routed', 'term benefits', 'mou', 'tied defence', 'joint ventures offset', 'absorptive', 'expansion', 'inward investment direct']",['Offset programmes and partnerships'],"['A substantial share of promised benefits is routed through indirect offsets and inward investment rather than direct defence-related participation.', 'Offset participation is channelled through vetted Saudi firms, shaping who can form joint ventures and receive offset-linked investments.', 'Offset-linked joint ventures become financially feasible with relatively small foreign equity shares because concessional finance fills much of the capital structure.']",Offset programmes and partnerships
22,13,22_offset policy_supports_policy_management,"['offset policy', 'supports', 'policy', 'management', 'short term', 'shifts', 'strategy', 'renewal', 'attract', 'aspirations', 'offset strategy', 'shifts away offsets']","['offset policy', 'offsets management', 'offset programmes', 'offset strategy', 'offset driven', 'work offset', 'offsets management office', 'offset work', 'mandatory offsets', 'offsets yield', 'shifts away offsets', 'adopts offset']","['offset policy', 'supports', 'renewal', 'aspirations', 'shifts away offsets', 'harpoon', 'policy shifts', 'long run industrial', 'policy instrument', 'offsets management office']",['Offset Policy Dynamics'],"['Offset policy supports domestic industrial/technology priorities and reduces political resistance to major foreign buys.', 'The offsets management office is reframed/renamed toward industrial cooperation as Spain’s compensation strategy shifts away from offsets.', 'Short-term maintenance of the industrial base occurs, but budget purchasing power falls and future procurement choices become constrained by dependence on offset work.']",Offset Policy Dynamics
23,12,23_dip_participation technology transfer_industrial participation technology_participation technology,"['dip', 'participation technology transfer', 'industrial participation technology', 'participation technology', 'fail', 'does', 'funds', 'intended technology', 'developing countries', 'developing', 'leading', 'instead']","['technology transfer', 'participation technology transfer', 'direct industrial participation', 'mandatory schemes', 'direct industrial', 'industrial participation technology', 'intended technology', 'fail materialise', 'contracting', 'industrial cooperation', 'technology', 'industrial participation']","['dip', 'participation technology transfer', 'industrial participation technology', 'funds', 'intended technology', 'developing countries', 'mandatory schemes', 'coega linked', 'reliably', 'fail materialise']",['Technology transfer challenges'],"['Technology transfer and plant delivery proceed under constraints that otherwise block or weaken standard contracting/ownership solutions.', 'Mandatory schemes can fail to deliver intended technology transfer and instead increase costs and administrative burden.', 'Direct industrial participation and technology-transfer outcomes are constrained and often fail to materialise as promised.']",Technology transfer challenges
24,12,24_irb_electronics_defence procurement_platform,"['irb', 'electronics', 'defence procurement', 'platform', 'distribution', 'run cost', 'conflict', 'american', 'begins', 'shape', 'benefits foreign', 'borne']","['defence procurement', 'defence industry', 'irb', 'irbs', 'defence offset', 'offsets irbs', 'benefits foreign', 'procurement', 'sourcing', 'procurement costs', 'defence', 'firms']","['electronics', 'defence procurement', 'run cost', 'conflict', 'american', 'benefits foreign', 'defence offset', 'distribution goals', 'percentages', 'offsets irbs']",['Defence Procurement Strategies'],"['EH-101 IRB design includes higher guarantees and greater technology transfer potential than typical proven-platform buys.', 'IRB strategy oscillates between efficiency (supporting strong firms) and political distribution goals, creating persistent conflict and inconsistency.', 'Canada begins formulating a defence offset/IRB approach in the mid-1970s focused on extracting domestic benefits from foreign suppliers.']",Defence Procurement Strategies
25,11,25_monitoring_shipbuilding_realized_unlikely,"['monitoring', 'shipbuilding', 'realized', 'unlikely', 'costs delays', 'african', 'wide', 'lack', 'deso', 'expertise', 'suspension', 'behavior']","['costs delays', 'lack', 'governance', 'technology transfer', 'delays', 'shipbuilding', 'technology transfer offset', 'disrupts', 'technology', 'capability', 'jobs created', 'offset benefits']","['monitoring', 'shipbuilding', 'costs delays', 'lack', 'deso', 'suspension', 'south african', 'conduct', 'offsets unlikely', 'explicit']",['Defence offsets challenges'],"['Cancellation disrupts capability planning and can increase long-run costs and delays despite short-term political gains.', 'The MoD initially did not monitor jobs created and DESO began monitoring only after parliamentary prompting.', 'South African shipbuilding stakeholders view lack of participation in corvette construction as a grievance and missed capability-building opportunity.']",Defence offsets challenges
26,10,26_entry_german_saudi_foreign firms,"['entry', 'german', 'saudi', 'foreign firms', 'commercially', 'technological', 'achieves', 'operations', 'counterpurchase', 'global supply', 'global supply chains', 'linking']","['foreign firms', 'joint ventures', 'buy multinational', 'multinational', 'global supply chains', 'ventures', 'firms', 'exports', 'foreign', 'global supply', 'supply chains', 'industrial participation']","['entry', 'german', 'saudi', 'foreign firms', 'counterpurchase', 'global supply chains', 'manufacturers', 'partners', 'buy multinational', 'joint ventures']",['Foreign partnership strategies'],"['Joint ventures become a practical route for foreign entry and sustained operations in the Saudi market.', 'Contractors are encouraged to promote Saudi exports by linking Saudi manufacturers to global supply chains associated with the prime contractor.', 'The chapter reports that countries seek equity investments and joint ventures to induce foreign firms to share technological and marketing skills and continue placing work domestically.']",Foreign partnership strategies
27,10,27_estimate_domestic industrial capacity_domestic industrial_industrial capacity,"['estimate', 'domestic industrial capacity', 'domestic industrial', 'industrial capacity', 'phases', 'human capital', 'multiplier', 'lines', 'domestic industrial capability', 'expansion', 'local industrial', 'reinforced']","['domestic industrial capacity', 'industrial capacity', 'domestic industrial capability', 'industrial capability', 'domestic industrial', 'domestic production', 'industrial development', 'shipbuilding', 'industrial', 'production', 'local industrial', 'manufacturing']","['estimate', 'domestic industrial capacity', 'human capital', 'reinforced', 'renewal', 'competitiveness domestic', 'facilities', 'domestic content', 'offset implementation', 'germany']",['Domestic industrial expansion'],"['Domestic industrial capability and exportable product lines expand during the growth period.', 'Domestic industrial capacity expands (facilities and employment) as a prerequisite to deliver co-production offsets.', 'Domestic industrial capacity increased and procurement became increasingly routed through firms operating in Germany.']",Domestic industrial expansion
28,10,28_greek_upgrading_institutionalised_governance,"['greek', 'upgrading', 'institutionalised', 'governance', 'feasible', 'contract value', 'governance institutionalised', 'exceeding contract', 'overall', 'exceeding contract value', 'programme yields', 'significant delays']","['defence industry development', 'procurement', 'defence industry', 'support defence industry', 'industry development', 'governance', 'governance institutionalised', 'institutionalised', 'economic', 'development', 'capability gains', 'industry']","['greek', 'upgrading', 'governance institutionalised', 'exceeding contract value', 'significant delays', 'smes', 'defence industry development', 'capability gains', 'financing', 'tourism']",['Greek OIB governance'],"['OIB delivers immediate economic benefits via investment projects and direct aerospace/engine component work, but governance can slow decision-making.', 'OIB is expected to support defence-industry development and international competitiveness when aligned to feasible domestic capabilities.', 'The Kanaris upgrading programme yields OIB exceeding contract value, mainly through technology transfer and know-how.']",Greek OIB governance
